,index,returns,volatility,sharpe
0,sp_500,8.982759834996347,0.1843444699483963,0.4864368232747389
1,bc,62.28756752756409,0.6662494133864063,0.934665010976123
2,au,4.208913174256221,0.13550020519333245,0.30947164753537676
3,tb_1y,0.7449669348871978,0.00956973922748685,0.7621952046427382
4,tb_3m,7.504476182314265,0.12486347300883839,0.5997678906291648
5,tb_10y,0.07701604350115153,0.004868505586706769,0.1262195193304041
6,tb_30y,0.015565521136777075,0.003463978787803636,-1.382408069625735e-06
7,euro,-0.6106042804859785,0.19944611263869247,-0.03139546177168768
8,ipc,2.238304671505379,0.15857708556112832,0.14016770857152358
9,art,33.196886472666634,0.2930383358178229,1.1323201239204044
