last_name,name,born,death,notes
abela,eduardo,1889,1965,
alfonzo,carlos,1950,1991,
do amaral,tarsila,1886,1971,
anguiano,raul,1915,2006,
atl,dr.,1875,1964,
bazile,castera,1923,1966,
bermudez,cundo,1914,2008,
berni,antonio,1905,1981,
bigaud,wilson,1931,2010,
bonevardi,marcelo,1929,1994,
botello,angel,1913,1986,
botero,fernando,1932,,
bravo,claudio,1936,2011,
bush,norton,1834,1894,AMERICANO
del campo,federico,1837,1923,
cantu,federico,1908,1989,
cardenas,agustin,1927,2001,ESCULTURAS
carreno,mario,1913,1999,
carringtion,leonora,1917,2011,BRITISH
castaã‘eda,alfredo,1938,2010,
castaã‘eda,felipe,1933,,
ramos catalan,benito,1888,1964,
de cavalcanti,emiliano,1897,1976,
charlot,jean,1898,1979,
clausell,joaquin,1866,1935,
colunga,alejandro,1948,,
coronel,pedro,1923,1985,
coronel,rafael,1932,2019,
corzas,francisco,1936,1983,
costa,olga,1913,1993,
covarrubias,miguel,1904,1957,
cuevas,jose luis,1933,2017,
duffaut,prefete,1923,2012,
enriquez,carlos,1901,1957,
escobar,marisol,1930,2016,ESCULTURAS
fernandez,agustin,1928,2006,
figari,pedro,1861,1938,
fini,leonor,1908,1996,FRANCESA
gerzso,gunther,1915,2002,
gourgue,jacques-enguerrand,1930,1998,
grau,enrique,1920,2004,
greenwood,marion,1909,1970,
guayasamin,oswaldo,1919,1999,
galvan,jesus guerrero,1910,1973,
hernandez,daniel,1856,1932,
renteria rocha,horacio,1912,1972,
hoyos,ana mercedes,1942,2014,
hyppolite,hector,1894,1948,
iturria,ignacio de,1949,,
izquierdo,maria,1902,1955,
kahlo,frida,1907,1954,
kingman,eduardo,1913,1997,
kuitca,guillermo,1961,,
lam,wilfredo,1902,1982,
larraz,julio,1944,,
laville,helene joy,1923,2018,
leuus,jesus,1948,2008,
lohr,august,1843,1919,
lynch,albert,1851,1930,
mabe,manabu,1924,1997,
manuel,victor,1897,1969,
martinez,ricardo,1918,2009,
matta,roberto,1911,2002,
merida,carlos,1891,1984,
meza,guillermo,1917,1997,
mijares,jose,1922,2004,
campos,florencio molina,1891,1959,
montenegro,roberto,1887,1968,
montoya,gustavo,1905,2003,
morales,armando,1927,2011,
morales,dario,1944,1988,
nierman,leonardo,1932,,
normil,andre,1934,,
obin,philome,1892,1986,
obin,seneque,1893,1977,
obregon,alejandro,1920,1992,
o'gorman,juan,1905,1982,
o'higgins,pablo,1904,1983,
oiticica,helio,1937,1980,
orozco,jose clemente,1883,1949,
orozco romero,carlos,1898,1984,
pelaez,amelia,1896,1968,
penalba,alicia,1918,1982,
pettoruti,emilio,1892,1971,
pierre,andre,1914,1979,
poleo,hector,1918,1989,
ponce de leon,fidelio,1895,1949,
portinari,candido,1903,1962,
portocarrero,rene,1912,1986,
quinquela martin,benito,1890,1977,
ramos,domingo,1894,1967,
ramos martinez,alfredo,1871,1946,
reveron,armando,1889,1954,
rivera,diego,1886,1957,
rodo boulanger,graciela,1935,,
rodriguez,mariano,1912,1990,
rojas,elmar,1939,,
romaã‘ach,leopoldo,1862,1951,
sanchez,emilio,1921,1999,
sanchez,tomas,1948,,
segui,antonio,1934,2022,
alfaro siqueiros,david,1896,1974,
soriano,juan,1920,2006,
soto,jesus rafael,1923,2005,
de szyszlo,fernando,1925,2017,
tamayo,rufino,1899,1991,
toledo,francisco,1940,2019,
torres-garcia,joaquin,1874,1949,
varela,abigail,1948,,
varo,remedios,1908,1963,
velasco,jose maria,1840,1912,
velasquez,jose antonio,1906,1985,
villacres,cesar a.,1880,1941,
zarraga,angel,1886,1946,
zuniga,francisco,1912,1998,
